Distance from coast (meters),Elevation above sea level (meters)
1331000,309
1332000,317
1333000,310
1334000,310
1335000,310
1336000,311
1337000,311
1338000,312
1339000,312
1340000,312
1341000,312
1342000,312
1343000,313
1344000,313
1345000,313
1346000,313
1347000,313
1348000,313
1349000,313
1350000,313
1351000,313
1352000,313
1353000,313
1354000,313
1355000,313
1356000,313
1357000,313
1358000,313
1359000,313
1360000,313
1361000,313
1362000,313
1363000,313
1364000,313
1365000,313
1366000,313
1367000,313
1368000,314
1369000,314
1370000,314
1371000,314
1372000,314
1373000,314
1374000,314
1375000,314
1376000,314
1377000,314
1378000,314
1379000,314
1380000,314
1381000,314
1382000,314
1383000,314
1384000,314
1385000,320
1386000,314
1387000,314
1388000,314
1389000,314
1390000,314
1391000,314
1392000,314
1393000,314
1394000,314
1395000,314
1396000,314
1397000,314
1398000,314
1399000,314
1400000,314
1401000,321
1402000,314
1403000,314
1404000,314
1405000,314
1406000,314
1407000,314
1408000,314
1409000,314
1410000,314
1411000,314
1412000,314
1413000,314
1414000,314
1415000,314
1416000,314
1417000,314
1418000,314
1419000,314
1420000,314
1421000,314
1422000,314
1423000,314
1424000,314
1425000,314
1426000,314
1427000,314
1428000,314
1429000,314
1430000,314
1431000,314
1432000,314
1433000,314
1434000,314
1435000,314
1436000,314
1437000,314
1438000,314
1439000,314
1440000,314
1441000,314
1442000,314
1443000,314
1444000,326
1445000,314
1446000,315
1447000,315
1448000,315
1449000,315
1450000,315
1451000,315
1452000,315
1453000,315
1454000,315
1455000,315
1456000,315
1457000,315
1458000,315
1459000,315
1460000,315
1461000,315
1462000,315
1463000,315
1464000,315
1465000,315
1466000,315
1467000,315
1468000,315
1469000,315
1470000,315
1471000,315
1472000,315
1473000,315
1474000,315
1475000,315
1476000,327
1477000,315
1478000,315
1479000,315
1480000,315
1481000,315
1482000,315
1483000,315
1484000,315
1485000,315
1486000,315
1487000,315
1488000,315
1489000,315
1490000,315
1491000,315
1492000,315
1493000,315
1494000,315
1495000,315
1496000,315
1497000,315
1498000,315
1499000,315
1500000,315
1501000,315
1502000,315
1503000,315
1504000,315
1505000,315
1506000,315
1507000,315
1508000,315
1509000,315
1510000,315
1511000,315
1512000,315
1513000,315
1514000,315
1515000,315
1516000,315
1517000,315
1518000,315
1519000,315
1520000,315
1521000,315
1522000,315
1523000,315
1524000,315
1525000,315
1526000,332
1527000,315
1528000,315
1529000,315
1530000,315
1531000,315
1532000,315
1533000,315
1534000,315
1535000,315
1536000,315
1537000,315
1538000,315
1539000,315
1540000,315
1541000,315
1542000,315
1543000,315
1544000,315
1545000,315
1546000,315
1547000,315
1548000,315
1549000,315
1550000,315
1551000,315
1552000,315
1553000,331
1554000,315
1555000,315
1556000,315
1557000,315
1558000,315
1559000,315
1560000,331
1561000,315
1562000,315
1563000,315
1564000,315
1565000,315
1566000,315
1567000,315
1568000,332
1569000,315
1570000,315
1571000,315
1572000,315
1573000,315
1574000,315
1575000,315
1576000,315
1577000,315
1578000,315
1579000,315
1580000,315
1581000,315
1582000,315
1583000,315
1584000,315
1585000,315
1586000,315
1587000,315
1588000,339
1589000,315
1590000,315
1591000,315
1592000,315
1593000,315
1594000,315
1595000,317
1596000,317
1597000,318
1598000,318
1599000,319
1600000,319
1601000,319
1602000,320
1603000,320
1604000,336
1605000,321
1606000,322
1607000,322
1608000,322
1609000,323
1610000,323
1611000,324
1612000,324
1613000,325
1614000,325
1615000,326
1616000,326
1617000,326
1618000,327
1619000,327
1620000,328
1621000,328
1622000,329
1623000,329
1624000,337
1625000,330
1626000,331
1627000,331
1628000,331
1629000,332
1630000,332
1631000,333
1632000,333
1633000,334
1634000,338
1635000,335
1636000,335
1637000,335
1638000,335
1639000,335
1640000,335
1641000,335
1642000,335
1643000,335
1644000,335
1645000,336
1646000,336
1647000,336
1648000,336
1649000,336
1650000,336
1651000,336
1652000,336
1653000,336
1654000,336
1655000,336
1656000,336
1657000,336
1658000,337
1659000,337
1660000,337
1661000,337
1662000,337
1663000,337
1664000,337
1665000,337
1666000,337
1667000,337
1668000,337
1669000,337
1670000,337
1671000,338
1672000,338
1673000,338
1674000,338
1675000,338
1676000,338
1677000,338
1678000,338
1679000,338
1680000,338
1681000,338
1682000,344
1683000,339
1684000,339
1685000,339
1686000,339
1687000,339
1688000,339
1689000,339
1690000,339
1691000,339
1692000,339
1693000,339
1694000,339
1695000,339
1696000,340
1697000,340
1698000,340
1699000,340
1700000,340
1701000,340
1702000,340
1703000,340
1704000,349
1705000,340
1706000,340
1707000,340
1708000,340
1709000,340
1710000,340
1711000,340
1712000,341
1713000,341
1714000,341
1715000,341
1716000,341
1717000,341
